名前,ふりがな,ニコニ・コモンズ,声質,非商用,個人商用,法人商用,直当て,他当て,アダルト,グロ,設定変更,声加工,最終反映,規約のリンク
つくよみちゃん,,nc250184,落ち着いた,○,○,○,○,○,○,○,○,○,2024/12/10,https://tyc.rei-yumesaki.net/about/terms
MANA,,nc260220,明るい,○,○,○,△,△,×,×,○,○,2024/12/10,https://cf-mk.jimdofree.com/%E5%88%A9%E7%94%A8%E8%A6%8F%E7%B4%84
KANA,,nc281340,明るい,○,○,○,△,△,×,×,○,○,2024/12/10,https://cf-mk.jimdofree.com/%E5%88%A9%E7%94%A8%E8%A6%8F%E7%B4%84
おふとんP,,nc281035,優しげ,○,○,○,○,○,○,○,○,○,2025/2/27,https://mohumohuton.web.fc2.com
ディアちゃん,,nc266214,明るい,○,○,☎,○,○,○,○,○,○,2025/2/27,https://production.lusty-kiss.com/tos
アルマちゃん,,nc266214,ダウナー,○,○,☎,○,○,○,○,○,○,2025/2/27,https://production.lusty-kiss.com/tos
リリンちゃん,,nc266214,甘め,○,○,☎,○,○,○,○,○,×,2025/2/27,https://production.lusty-kiss.com/tos
クロワちゃん,,nc266214,クール,○,○,☎,○,○,○,○,○,○,2025/2/27,https://production.lusty-kiss.com/tos
アンジーさん,,nc266214,クール,○,○,☎,○,○,○,○,○,○,2025/2/27,https://production.lusty-kiss.com/tos
朱花,あやか,im11051742,元気,○,○,○,○,○,×,○,○,○,2025/3/8,https://aiseiyou.com
青葉,あおば,im11051742,落ち着いた,○,○,○,○,○,×,○,○,○,2025/3/8,https://aiseiyou.com
銀芽,ぎんが,im11051742,ダウナー,○,○,○,○,○,×,○,○,○,2025/3/8,https://aiseiyou.com
金苗,かなえ,im11051742,優しげ,○,○,○,○,○,×,○,○,○,2025/3/8,https://aiseiyou.com
ミセバヤ,,nc269714,優しげ,○,△,△,○,○,○,○,○,○,2025/5/24,https://misebaya.hkvox.com/terms/coeiroink/
エリーミア,,sm40275681,優しげ,○,○,☎,○,○,×,×,○,○,2025/5/24,https://artt.birchgame.org/blog/tos/
薬音|ハル[|瑠璃|],やくね|||,im10633176,落ち着いた,△,△,△,○,○,△,×,○,○,2025/5/24,https://sites.google.com/view/kusanagikaisoku-yakune/home
波音|リツ,なみね|,不明,明るい,○,○,○,○,○,○,○,○,○,2025/5/25,https://x.com/canon_73/status/1511682197035520007
白痴ー|(|黒聡 鵜月|),はくちー||くろさと うづき|,sm40387056,明るい,○,△,△,○,○,○,○,○,○,2025/5/25,https://hakuti-106.booth.pm/items/4521407
花房瑞稀,はなふさみずき,sm42551224,明るい,○,○,☎,○,○,×,×,○,○,2025/5/25,https://bowlroll.net/file/275223
ナグモ,,nc291723,ウィスパー,○,○,☎,○,○,○,○,○,○,2025/5/25,https://minagumo.wixsite.com/nagumo-official/%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC%E8%A6%8F%E7%B4%84-q-a
日笠 理央,ひのがさ りお,sm42728870,明るい,○,○,☎,○,○,○,○,○,○,2025/5/25,https://yakiimo1013.wixsite.com/outerspace/terms
望月 光星,もちづき こうせい,sm42728870,落ち着いた,○,○,☎,○,○,○,○,○,○,2025/5/25,https://yakiimo1013.wixsite.com/outerspace/terms
御蔵|イリ,みくら|,不明,明るい,○,○,☎,○,○,○,○,○,○,2025/5/25,https://iruiri.amebaownd.com/pages/2613199/page_201902162107
御蔵|イル,みくら|,不明,落ち着いた,○,○,☎,○,○,○,○,○,○,2025/5/25,https://iruiri.amebaownd.com/pages/2613199/page_201902162107
にゃてすん,,sm40344922,ウィスパー,○,○,☎,○,○,×,×,○,○,2025/5/24,https://artt.birchgame.org/blog/tos/
千呼乃,ちよの,nc354684,落ち着いた,○,○,☎,○,○,○,○,○,○,2025/5/24,https://otonen0.wixsite.com/tomene6k
有響|シロ,うきょう|,nc313895,落ち着いた,○,○,☎,○,○,○,○,○,○,2025/5/28,https://hasewoalice.wixsite.com/griffins-nest/coeiroink
欲音|ルコ♀,よくね|,sm40370640,明るい,○,○,☎,○,○,○,○,○,○,2025/6/18,https://long-sleeper.net/index.php?id=22
琉魂歌|マブイ,りゅうこんか|,不明,明るい,○,○,☎,○,○,○,○,○,○,2025/6/18,http://spiritskemokemo.web.fc2.com/mekoekiyaku.html
幸|（YUKI）,ゆき|,sm40858622,落ち着いた,○,☎,☎,○,○,○,○,○,○,2025/6/24,https://rekacurry10.wixsite.com/website/others
月城愛理,つきしろあいり,sm40436826,落ち着いた,○,○,○,○,○,○,○,○,○,2025/6/24,https://ameblo.jp/mochalyna1/entry-12885249918.html?frm=theme
汎用式概念| ろさちゃん,はんようしきがいねん|,nc284703,落ち着いた,○,○,☎,○,○,○,○,○,○,2025/6/24,https://senolosachan.com/download-%e2%94%82-type-%cf%87/
言緒丞,ことおたすく,nc276961,落ち着いた,○,○,×,○,○,○,○,○,○,2025/6/24,https://koto-coefont.jimdofree.com/terms-of-use/
言緒結,ことおむすび,nc276961,落ち着いた,○,○,×,○,○,○,○,○,○,2025/6/24,https://koto-coefont.jimdofree.com/terms-of-use/
ナースロボ＿タイプＴ,,不明,落ち着いた,○,○,☎,○,○,△,○,○,○,2025/6/26,https://www.krnr.top/rules
三昧|さん,ざんまい|,nc272106,明るい,○,△,☎,○,○,○,○,○,○,2025/6/26,https://kabutoganizanmai.booth.pm/items/3880738
カテナ,,nc272106,明るい,○,○,☎,○,○,×,△,○,○,2025/6/26,https://riushi105.wixsite.com/talkcatena/%E5%88%A9%E7%94%A8%E8%A6%8F%E7%B4%84
